asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,gold_return_5d,3,-0.006011162069805388,0.7795348521412961,-0.0169321408903076,0.4303819760682341,2171,0.005555555555555552,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,gold_return_5d,5,-0.020578622981709493,0.3380892956714332,-0.026052464656934338,0.2251927374599273,2169,0.0015873015873016038,-0.007936507936507908,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,oil_return_1d,60,0.029692473966080258,0.1718396680662793,-0.013624883310554267,0.5307590207254635,2119,0.0015873015873015817,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,oil_return_5d,1,-0.0027327558060256723,0.8986674239326707,-0.011741934411532621,0.5842513287580839,2174,0.015079365079365076,0.0,10,4,0.995142207056072,0.4,REMOVE,8.0
AAPL,oil_return_5d,3,-0.011925502255439006,0.578563300950027,-0.02271312754950018,0.29002530977237717,2172,0.006349206349206354,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,oil_return_5d,10,0.014122149859697262,0.511341237078793,0.030525486662182515,0.1556519191724697,2165,-0.007936507936507946,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,dxy_return_1d,0,-0.018002903136770623,0.40093246634264873,-0.01331997105333944,0.5343076341919788,2179,-0.0007936507936507964,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,dxy_return_1d,2,0.016735943536066066,0.4351099280908107,0.005638437358220928,0.7926037013104273,2177,0.005555555555555569,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,dxy_return_1d,3,-0.01390585730802548,0.5167691440283916,0.0021574968113225288,0.9198804054728026,2176,-0.004761904761904756,0.0,10,4,0.9914592642313097,0.4,REMOVE,8.0
AAPL,dxy_return_1d,5,0.0033604400424872395,0.875564211406327,0.008300401877033655,0.6989042389813871,2174,-0.007142857142857145,-0.007936507936507964,10,4,0.995142207056072,0.4,REMOVE,8.0
AAPL,dxy_return_5d,5,0.0016344554908535626,0.9393439604764746,0.0027055715851493326,0.8997620423816047,2170,-0.0031746031746031746,0.0,10,4,0.995142207056072,0.4,REMOVE,8.0
