asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,macro_yield_curve_10y2y,0,-0.006973421648456193,0.7447580694929739,-0.01573720339530597,0.46249866918726823,2182,-0.009523809523809528,-0.003968253968253954,10,2,0.9414827798563781,0.2,REMOVE,3.0
AAPL,macro_yield_curve_10y2y,1,-0.00640908669058005,0.7648306496920174,-0.015124135484504279,0.48021898644129424,2181,-0.010317460317460326,-0.007936507936507908,10,2,0.9421975402635465,0.2,REMOVE,3.0
AAPL,macro_yield_curve_10y2y,2,-0.006959022203379522,0.7453796797778892,-0.01725305266211095,0.42073252401791134,2180,-0.011904761904761908,-0.003968253968253954,10,2,0.9414827798563781,0.2,REMOVE,3.0
AAPL,macro_yield_curve_10y2y,3,-0.008057822415675207,0.7069708040264164,-0.01767099384637326,0.4096732355360302,2179,-0.012698412698412704,-0.003968253968253954,10,2,0.9290469028202467,0.2,REMOVE,3.0
AAPL,macro_yield_curve_10y2y,10,-0.0042754767681885695,0.8421504109712454,-0.012374714331530893,0.564337964469306,2172,-0.012698412698412704,-0.007936507936507908,10,2,0.9520139054282394,0.2,REMOVE,3.0
AAPL,macro_cpi_yoy,1,-0.03016585737114176,0.19108096973040856,-0.023474955434048175,0.30900454180892084,1880,-0.009920634920634913,-0.007936507936507936,8,1,0.7472016676338081,0.125,REMOVE,1.88
AAPL,macro_cpi_yoy,2,-0.02656378969375099,0.24976969835773613,-0.01831679360995286,0.4274724736836446,1879,-0.006944444444444468,-0.011904761904761973,8,1,0.7472016676338081,0.125,REMOVE,1.88
AAPL,macro_cpi_yoy,20,-0.030572159513453892,0.1874086462224184,-0.01996195197094335,0.38942975009258174,1861,-0.01190476190476189,-0.007936507936507908,8,1,0.7472016676338081,0.125,REMOVE,1.88
AAPL,macro_fed_funds_change_5d,0,-0.019926054912392504,0.35274670020889987,-0.0077589219662570225,0.7174896192382879,2177,-0.010317460317460314,-0.007936507936507936,10,1,0.7946530151804644,0.1,REMOVE,1.5
AAPL,macro_us2y_change_5d,2,-0.004845836814114333,0.8213054920114472,0.0018593536124723745,0.9309380317523605,2175,-0.015079365079365076,-0.01190476190476189,10,1,0.9515794536290559,0.1,REMOVE,1.5
